record_id,y,x,value_um,tag
2a5a65a0-53bc-421f-8b55-cd6c731ac677,0,0,0.0,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,0,1,0.0,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,0,2,0.15,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,0,3,0.3,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,0,4,0.0,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,1,0,-0.18,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,1,1,0.16,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,1,2,0.2,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,1,3,-0.06,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,1,4,0.13,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,2,0,-0.35,MIN
2a5a65a0-53bc-421f-8b55-cd6c731ac677,2,1,-0.24,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,2,2,0.17,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,2,3,0.59,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,2,4,0.1,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,3,0,-0.23,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,3,1,-0.26,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,3,2,-0.15,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,3,3,-0.19,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,3,4,0.22,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,4,0,-0.25,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,4,1,-0.1,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,4,2,0.2,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,4,3,0.35,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,4,4,0.5,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,5,0,-0.13,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,5,1,0.1,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,5,2,0.33,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,5,3,0.4,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,5,4,0.78,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,6,0,0.0,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,6,1,0.26,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,6,2,0.53,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,6,3,0.79,
2a5a65a0-53bc-421f-8b55-cd6c731ac677,6,4,1.05,MAX
